reg_number,bank,branch_name,address,city,branch_phone,url,note,history
0174,Nordea,Nordea Vanløse Afdeling,"Jernbane Allé 47, 2720 Vanløse",Vanløse,+4570333333,www.nordea.dk,Vanløse,"Husum, closed 2014"
0175,Nordea,,,,,www.nordea.dk,,
0176,Nordea,Nordea Sundbyvester Afdeling,"Amagerbrogade 245, 2300 København S",København S,+4570333333,www.nordea.dk,Sundbyvester,
0177,Nordea,Nordea Vanløse Afdeling,"Jernbane Alle 47, 2720 Vanløse",Vanløse,+4570333333,www.nordea.dk,Vanløse,
0178,Nordea,,,,,www.nordea.dk,,
0179,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0180,Nordea,Nordea Herlev Afdeling,"Herlev Torv 18, 2730 Herlev",Herlev,+4570333333,www.nordea.dk,Herlev,
0181,Nordea,Nordea Nørreport Afdeling,"Frederiksborggade 14-16, 1360 København K",København K,+4570333333,www.nordea.dk,Nørreport,
0182,Nordea,Nordea Hvidovre Afdeling,"Hvidovrevej 338B, 2650 Hvidovre",Hvidovre,+4570333333,www.nordea.dk,Hvidovre Station,
0183,Nordea,Nordea Frederiksberg Afdeling,"Smallegade 2, 2000 Frederiksberg",Frederiksberg,+4570333333,www.nordea.dk,Frederiksberg,
0184,Nordea,Nordea Svanemølle Afdeling,"Østerbrogade 137, 2100 København Ø",København Ø,,www.nordea.dk,Svanemølle,
0185,Nordea,Nordea Falkoner Alle Afdeling,"Falkoner Alle 53, 2000 Frederiksberg",Frederiksberg,+4570333333,www.nordea.dk,Falkoner Allé,
0186,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0187,Nordea,Nordea Kongens Nytorv Afdeling,"Kongens Nytorv 28, 1050 København K",København K,+4570333333,www.nordea.dk,Kongens Nytorv,
0190,Nordea,,,,,www.nordea.dk,Medarbejderbanken,
0191,Nordea,,,,,www.nordea.dk,Loro,
0194,Nordea,Nordea Kongens Nytorv Afdeling,"Kongens Nytorv 28, 1050 København K",København K,+4570333333,www.nordea.dk,Kongens Nytorv,
0198,Nordea,,,,,www.nordea.dk,HKKF Fonde,
0200,Danske Bank,,,,,www.danskebank.dk,,
0216,Danske Bank,Danske Bank Statens Betalinger,"Girostrøget 1, 0800 Høje Taastrup",Høje Taastrup,+4570121313,www.danskebank.dk,Statens Betalinger,
0220,Danske Bank,Danske Bank Holbæk Afdeling,"Ahlgade 28, 4300 Holbæk",Holbæk,+4545120220,www.danskebank.dk,Holbæk,
0222,Danske Bank,Danske Bank Køge Afdeling,"Brogade 3, 4600 Køge",Køge,+4545120800,www.danskebank.dk,Køge,
0225,Danske Bank,Danske Bank Gentofte Afdeling,"Gentoftegade 50, 2820 Gentofte",Gentofte,+4545122840,www.danskebank.dk,Gentofte,
0227,Danske Bank,Danske Bank Solrød Afdeling,"Solrød Center 15, 2680 Solrød Strand",Solrød Strand,+4545120650,www.danskebank.dk,Solrød,
0233,Danske Bank,Danske Bank Allerød Afdeling,"M. D. Madsensvej 10, 3450 Allerød",Allerød,+4545120930,www.danskebank.dk,Allerød,
0238,Danske Bank,Danske Bank Amagerbrogade Afdeling,"Amagerbrogade 193, 2300 København S",København S,+4545124740,www.danskebank.dk,Amagerbrogade,Holmbladsgade
0239,Danske Bank,Danske Bank Ishøj Afdeling,"Ishøj Vestergade 12, 2635 Ishøj",Ishøj,+4545123840,www.danskebank.dk,Ishøj,
